key_resp.keys,key_resp.rt,key_resp_16.keys,key_resp_16.rt,key_resp_2.keys,key_resp_2.rt,X Scale,ratio_pxpermm,screen_size_x,screen_size_y,testsize,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,line_size,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_8.keys,key_resp_8.rt,key_resp_7.keys,key_resp_7.rt,key_resp_12.keys,key_resp_12.rt,key_resp_11.keys,key_resp_11.rt,key_resp_18.keys,key_resp_18.rt,key_resp_21.keys,key_resp_21.rt,key_resp_13.keys,key_resp_13.rt,key_resp_19.keys,key_resp_19.rt,ballposx,viewer_distance,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,viewerdistancecm,DVA_to_distance,radius_F,radius_P,r_F,R_P,key_resp_20.keys,key_resp_20.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,Flower1,Ecc,Flower_2,similarity,response_time,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,catchnumberprac,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,mouse_7.clicked_name,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Flower2,trialnumber,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,catchresponse,catchnumber,catchtrialorder,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,mouse_3.clicked_name,mouse_11.clicked_name,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,answer1,rt1,answer2,rt2,answer3,rt3,answer4,rt4,answer5,rt5,answer6,rt6,answer8,rt8,answer7,rt7
space,7.994045,space,9.87298,space,7.759775,39.6,3.96,344.9494949,193.9393939,1366,space,39.580135,space,18.803495,79.2,space,12.45126,space,15.917375,space,9.10829,space,22.064315,space,20.95169,space,31.727525,space,17.96949,space,15.80882,space,18.84518,return,5.54542,-170.067,753.611348,0,0,0,0,1,5e68cedf12215e16f2b39fe3,5fe19771c274b3c312ccae4c,2020-12-22_08h53.16.895,FlowerSimilarity_Experiment,2020.1.2,Win32,60,5fe17d4a51f3a9c1a60f9869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,7.51107,-129.087,710.5067904,1,0,1,0,1,5e68cedf12215e16f2b39fe3,5fe19771c274b3c312ccae4c,2020-12-22_08h53.16.895,FlowerSimilarity_Experiment,2020.1.2,Win32,60,5fe17d4a51f3a9c1a60f9869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,5.50353,-159.822,742.8352086,2,0,2,0,1,5e68cedf12215e16f2b39fe3,5fe19771c274b3c312ccae4c,2020-12-22_08h53.16.895,FlowerSimilarity_Experiment,2020.1.2,Win32,60,5fe17d4a51f3a9c1a60f9869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,5.038635,-102.45,682.488828,3,0,3,0,1,5e68cedf12215e16f2b39fe3,5fe19771c274b3c312ccae4c,2020-12-22_08h53.16.895,FlowerSimilarity_Experiment,2020.1.2,Win32,60,5fe17d4a51f3a9c1a60f9869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,5.02251,-98.352,678.1783723,4,0,4,0,1,5e68cedf12215e16f2b39fe3,5fe19771c274b3c312ccae4c,2020-12-22_08h53.16.895,FlowerSimilarity_Experiment,2020.1.2,Win32,60,5fe17d4a51f3a9c1a60f9869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5e68cedf12215e16f2b39fe3,5fe19771c274b3c312ccae4c,2020-12-22_08h53.16.895,FlowerSimilarity_Experiment,2020.1.2,Win32,60,5fe17d4a51f3a9c1a60f9869,71,12.39309167,73.6149645,490.76643,49.076643,220.8448935,space,9.327295,space,20.49849,space,16.200635,space,4.567655,space,11.207385,space,5.91464,3,FF,3,0,20.1122,-33,86,1,0,0,response7disk_5,-10,-3,1,0,0,rectangle_8,-10,-3,1,0,0,2,-10,-3,1,0,0,0,0,0,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5e68cedf12215e16f2b39fe3,5fe19771c274b3c312ccae4c,2020-12-22_08h53.16.895,FlowerSimilarity_Experiment,2020.1.2,Win32,60,5fe17d4a51f3a9c1a60f9869,,,,,,,,,,,,,,,,,,,3,FF,4,7,3.85213,55,92,1,0,0,response1disk_5,-8,1,1,0,0,rectangle_8,-8,1,1,0,0,2,-8,1,1,0,0,0,1,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5e68cedf12215e16f2b39fe3,5fe19771c274b3c312ccae4c,2020-12-22_08h53.16.895,FlowerSimilarity_Experiment,2020.1.2,Win32,60,5fe17d4a51f3a9c1a60f9869,,,,,,,,,,,,,,,,,,,1,FF,6,3,4.47696,-36,-97,1,0,0,response5disk_5,3,2,1,0,0,rectangle_8,-99,-50,1,0,0,2,-5,4,1,0,0,0,2,2,5,1,response5disk_7,rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5e68cedf12215e16f2b39fe3,5fe19771c274b3c312ccae4c,2020-12-22_08h53.16.895,FlowerSimilarity_Experiment,2020.1.2,Win32,60,5fe17d4a51f3a9c1a60f9869,,,,,,,,,,,,,,,,,,,7,PF,5,4,3.19786,52,-75,1,0,0,response3disk_5,-6,-1,1,0,0,rectangle_8,-84,-42,1,0,0,2,6,2,1,0,0,0,3,3,6,1,response5disk_7,rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5e68cedf12215e16f2b39fe3,5fe19771c274b3c312ccae4c,2020-12-22_08h53.16.895,FlowerSimilarity_Experiment,2020.1.2,Win32,60,5fe17d4a51f3a9c1a60f9869,,,,,,,,,,,,,,,,,,,8,PF,6,7,7.07947,46,79,1,0,0,response1disk_5,10,-6,1,0,0,rectangle_8,10,-6,1,0,0,2,10,-6,1,0,0,0,4,4,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5e68cedf12215e16f2b39fe3,5fe19771c274b3c312ccae4c,2020-12-22_08h53.16.895,FlowerSimilarity_Experiment,2020.1.2,Win32,60,5fe17d4a51f3a9c1a60f9869,,,,,,,,,,,,,,,,,,,8,PF,1,7,1.468225,37,78,1,0,0,response1disk_5,-10,1,1,0,0,rectangle_8,-10,1,1,0,0,2,-10,1,1,0,0,0,5,5,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5e68cedf12215e16f2b39fe3,5fe19771c274b3c312ccae4c,2020-12-22_08h53.16.895,FlowerSimilarity_Experiment,2020.1.2,Win32,60,5fe17d4a51f3a9c1a60f9869,,,,,,,,,,,,,,,,,,,7,PF,5,3,3.38028,-44,-96,1,0,0,response5disk_5,7,1,1,0,0,rectangle_8,7,1,1,0,0,2,7,1,1,0,0,0,6,6,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5e68cedf12215e16f2b39fe3,5fe19771c274b3c312ccae4c,2020-12-22_08h53.16.895,FlowerSimilarity_Experiment,2020.1.2,Win32,60,5fe17d4a51f3a9c1a60f9869,,,,,,,,,,,,,,,,,,,8,FF,,4,2.46448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,4.028515,26,-71,1,0,0,response3disk,2,1,-9,4,1,0,0,rectangle,-9,4,1,0,0,,4,"[66,8,178,45,101,63,155,129,12,223,122,291,183,219,79,295,147,14,191,7]",-9,4,1,0,0,0,0,0,22,1,,,,,,,,,,,,,,,,,,,,,,,
