key_resp.keys,key_resp.rt,key_resp_16.keys,key_resp_16.rt,key_resp_2.keys,key_resp_2.rt,X Scale,ratio_pxpermm,screen_size_x,screen_size_y,testsize,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,line_size,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_8.keys,key_resp_8.rt,key_resp_7.keys,key_resp_7.rt,key_resp_12.keys,key_resp_12.rt,key_resp_11.keys,key_resp_11.rt,key_resp_18.keys,key_resp_18.rt,key_resp_21.keys,key_resp_21.rt,key_resp_13.keys,key_resp_13.rt,key_resp_19.keys,key_resp_19.rt,ballposx,viewer_distance,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,viewerdistancecm,DVA_to_distance,radius_F,radius_P,r_F,R_P,key_resp_20.keys,key_resp_20.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,Flower1,Ecc,Flower_2,similarity,response_time,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,catchnumberprac,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,mouse_7.clicked_name,catchprac,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Flower2,trialnumber,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,catchresponse,catchnumber,catchtrialorder,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,mouse_3.clicked_name,mouse_11.clicked_name,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,answer1,rt1,answer2,rt2,answer3,rt3,answer4,rt4,answer5,rt5,answer6,rt6,answer8,rt8,answer7,rt7
space,3.353455,space,51.99311,space,10.434655,40.9,4.09,333.9853301,187.7750611,1366,space,49.78921,space,14.565645,81.8,space,18.014015,space,3.019005,space,0.639015,space,3.838105,space,10.428635,space,8.727345,space,18.41209,space,14.22102,space,25.157795,return,23.27955,-715.101,1284.726595,0,0,0,0,1,5fbec16fce816f0d19f36f4c,5fe1928de6b281c3447853da,2020-12-22_06h30.53.883,FlowerSimilarity_Experiment,2020.1.2,Win32,60,5fe17d4a51f3a9c1a60f9869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,9.920485,-711.003,1280.553147,1,0,1,0,1,5fbec16fce816f0d19f36f4c,5fe1928de6b281c3447853da,2020-12-22_06h30.53.883,FlowerSimilarity_Experiment,2020.1.2,Win32,60,5fe17d4a51f3a9c1a60f9869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,9.874545,-704.856,1274.292974,2,0,2,0,1,5fbec16fce816f0d19f36f4c,5fe1928de6b281c3447853da,2020-12-22_06h30.53.883,FlowerSimilarity_Experiment,2020.1.2,Win32,60,5fe17d4a51f3a9c1a60f9869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,9.88893,-706.905,1276.379698,3,0,3,0,1,5fbec16fce816f0d19f36f4c,5fe1928de6b281c3447853da,2020-12-22_06h30.53.883,FlowerSimilarity_Experiment,2020.1.2,Win32,60,5fe17d4a51f3a9c1a60f9869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,10.0784,-729.444,1299.333666,4,0,4,0,1,5fbec16fce816f0d19f36f4c,5fe1928de6b281c3447853da,2020-12-22_06h30.53.883,FlowerSimilarity_Experiment,2020.1.2,Win32,60,5fe17d4a51f3a9c1a60f9869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5fbec16fce816f0d19f36f4c,5fe1928de6b281c3447853da,2020-12-22_06h30.53.883,FlowerSimilarity_Experiment,2020.1.2,Win32,60,5fe17d4a51f3a9c1a60f9869,128,22.34247512,137.0710848,913.8072323,91.38072323,411.2132545,space,4.94649,space,11.22242,space,22.02921,space,6.01184,space,6.332275,space,6.30238,5,FF,2,4,6.26215,46,-71,1,0,0,response3disk_5,1,-6,1,0,0,rectangle_8,1,-6,1,0,0,0,1,-6,1,0,0,0,0,0,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5fbec16fce816f0d19f36f4c,5fe1928de6b281c3447853da,2020-12-22_06h30.53.883,FlowerSimilarity_Experiment,2020.1.2,Win32,60,5fe17d4a51f3a9c1a60f9869,,,,,,,,,,,,,,,,,,,5,PF,3,6,15.01897,100,32,1,0,0,response1disk_5,5,2,1,0,0,rectangle_8,5,2,1,0,0,0,5,2,1,0,0,0,1,1,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5fbec16fce816f0d19f36f4c,5fe1928de6b281c3447853da,2020-12-22_06h30.53.883,FlowerSimilarity_Experiment,2020.1.2,Win32,60,5fe17d4a51f3a9c1a60f9869,,,,,,,,,,,,,,,,,,,5,PF,8,6,2.88605,96,75,1,0,0,response1disk_5,7,-6,1,0,0,rectangle_8,7,-6,1,0,0,0,7,-6,1,0,0,0,2,2,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5fbec16fce816f0d19f36f4c,5fe1928de6b281c3447853da,2020-12-22_06h30.53.883,FlowerSimilarity_Experiment,2020.1.2,Win32,60,5fe17d4a51f3a9c1a60f9869,,,,,,,,,,,,,,,,,,,1,FF,3,2,3.841985,-53,-40,1,0,0,response5disk_5,6,-4,1,0,0,rectangle_8,-35,55,1,0,0,0,-7,13,1,0,0,0,3,3,3,1,response7disk_7,0,rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5fbec16fce816f0d19f36f4c,5fe1928de6b281c3447853da,2020-12-22_06h30.53.883,FlowerSimilarity_Experiment,2020.1.2,Win32,60,5fe17d4a51f3a9c1a60f9869,,,,,,,,,,,,,,,,,,,9,PF,3,5,4.97674,108,-26,1,0,0,response3disk_5,1,-2,1,0,0,rectangle_8,1,-2,1,0,0,0,1,-2,1,0,0,0,4,4,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5fbec16fce816f0d19f36f4c,5fe1928de6b281c3447853da,2020-12-22_06h30.53.883,FlowerSimilarity_Experiment,2020.1.2,Win32,60,5fe17d4a51f3a9c1a60f9869,,,,,,,,,,,,,,,,,,,4,PF,4,0,3.85457,-19,85,1,0,0,response7disk_5,0,-3,1,0,0,rectangle_8,0,-3,1,0,0,0,0,-3,1,0,0,0,5,5,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5fbec16fce816f0d19f36f4c,5fe1928de6b281c3447853da,2020-12-22_06h30.53.883,FlowerSimilarity_Experiment,2020.1.2,Win32,60,5fe17d4a51f3a9c1a60f9869,,,,,,,,,,,,,,,,,,,9,FF,6,3,3.93115,-21,-70,1,0,0,response5disk_5,6,-5,1,0,0,rectangle_8,6,-5,1,0,0,0,6,-5,1,0,0,0,6,6,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5fbec16fce816f0d19f36f4c,5fe1928de6b281c3447853da,2020-12-22_06h30.53.883,FlowerSimilarity_Experiment,2020.1.2,Win32,60,5fe17d4a51f3a9c1a60f9869,,,,,,,,,,,,,,,,,,,7,FF,,4,4.315845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,4.108165,47,-78,1,0,0,response3disk,5,1,8,5,1,0,0,rectangle,8,5,1,0,0,,1,"[33,274,112,119,125,312,86,107,268,161,281,286,261,153,139,289,128,83,173,209]",8,5,1,0,0,0,0,0,156,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5fbec16fce816f0d19f36f4c,5fe1928de6b281c3447853da,2020-12-22_06h30.53.883,FlowerSimilarity_Experiment,2020.1.2,Win32,60,5fe17d4a51f3a9c1a60f9869,,,,,,,,,,,,,,,,,,,9,PF,,2,2.701535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-74,-33,1,0,0,response5disk,7,2,-8,-6,1,0,0,rectangle,-8,-6,1,0,0,,7,"[33,274,112,119,125,312,86,107,268,161,281,286,261,153,139,289,128,83,173,209]",-8,-6,1,0,0,0,1,1,121,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5fbec16fce816f0d19f36f4c,5fe1928de6b281c3447853da,2020-12-22_06h30.53.883,FlowerSimilarity_Experiment,2020.1.2,Win32,60,5fe17d4a51f3a9c1a60f9869,,,,,,,,,,,,,,,,,,,1,FF,,6,2.43001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,23,1,0,0,response1disk,8,3,-6,-8,1,0,0,rectangle,-6,-8,1,0,0,,6,"[33,274,112,119,125,312,86,107,268,161,281,286,261,153,139,289,128,83,173,209]",-6,-8,1,0,0,0,2,2,27,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5fbec16fce816f0d19f36f4c,5fe1928de6b281c3447853da,2020-12-22_06h30.53.883,FlowerSimilarity_Experiment,2020.1.2,Win32,60,5fe17d4a51f3a9c1a60f9869,,,,,,,,,,,,,,,,,,,4,FF,,2,3.04479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-91,-63,1,0,0,response5disk,2,4,5,3,1,0,0,rectangle,5,3,1,0,0,,3,"[33,274,112,119,125,312,86,107,268,161,281,286,261,153,139,289,128,83,173,209]",5,3,1,0,0,0,3,3,13,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5fbec16fce816f0d19f36f4c,5fe1928de6b281c3447853da,2020-12-22_06h30.53.883,FlowerSimilarity_Experiment,2020.1.2,Win32,60,5fe17d4a51f3a9c1a60f9869,,,,,,,,,,,,,,,,,,,3,PF,,3,2.13891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-39,-62,1,0,0,response5disk,3,5,3,7,1,0,0,rectangle,3,7,1,0,0,,7,"[33,274,112,119,125,312,86,107,268,161,281,286,261,153,139,289,128,83,173,209]",3,7,1,0,0,0,4,4,4,1,,,,,,,,,,,,,,,,,,,,,,,
